temp,month,day,hour,minute
98,7,8,15,58
97,7,8,15,5
97,7,8,15,28
96,7,8,16,28
95,7,8,13,53
94,6,26,15,21
94,7,3,15,40
94,7,4,15,23
93,6,16,13,38
93,6,16,14,8
93,7,1,18,28
93,7,1,18,58
93,7,6,16,54
92,6,16,12,38
92,7,6,14,58
91,6,26,13,30
91,6,16,12,8
91,6,22,13,38
91,7,8,11,52
91,7,8,16,58
90,6,15,14,23
90,6,16,13,8
90,7,5,18,25
90,7,5,18,28
90,7,5,18,58
90,7,6,14,24
90,7,6,14,41
89,6,16,11,8
89,7,7,19,58
88,6,16,10,38
88,6,22,14,38
88,7,7,20,28
87,6,16,11,38
87,6,27,10,53
87,6,17,11,51
87,6,17,11,55
87,6,17,11,58
87,6,22,14,59
87,6,22,17,58
87,6,22,18,28
87,7,7,20,58
87,7,11,14,28
87,7,11,14,58
87,7,11,15,28
86,6,28,9,58
86,6,21,17,57
86,6,21,17,58
86,6,22,15,28
86,6,22,17,28
86,6,22,18,58
86,6,22,19,28
86,7,10,20,2
86,7,10,21,58
86,7,11,13,58
86,7,11,15,58
86,7,11,16,28
86,7,11,19,28
85,6,15,14,53
85,6,16,10,8
85,6,28,9,28
85,6,22,16,58
85,6,22,19,58
85,7,7,21,28
85,7,11,16,58
85,7,11,17,28
85,7,11,18,28
85,7,11,18,58
85,7,11,19,58
85,7,11,20,28
85,7,11,20,58
85,7,12,9,28
84,6,20,19,19
84,6,22,9,38
84,6,22,16,28
84,6,22,20,28
84,7,7,21,58
84,7,7,22,28
84,7,10,22,58
84,7,11,17,58
84,7,11,21,28
84,7,11,21,58
84,7,11,22,28
83,6,17,9,43
83,6,28,8,58
83,6,30,20,58
83,6,22,15,58
83,6,22,20,58
83,6,22,21,28
83,7,7,22,58
83,7,7,23,28
83,7,10,9,28
83,7,12,8,58
82,6,18,16,58
82,6,28,8,28
82,7,3,23,38
82,7,3,23,59
82,7,4,0,28
82,6,22,21,58
82,7,7,23,58
82,7,8,0,28
82,6,24,9,28
82,7,11,22,58
82,7,11,23,28
81,6,15,15,23
81,6,18,15,21
81,6,18,15,28
81,6,18,16,28
81,6,19,20,28
81,6,29,9,28
81,6,30,9,28
81,6,30,22,28
81,7,3,21,1
81,7,4,23,47
81,6,22,22,28
81,6,22,22,58
81,7,8,0,58
81,6,23,8,28
81,6,23,8,58
81,6,23,9,28
81,7,11,23,58
81,7,12,0,28
81,7,12,8,28
80,6,27,21,5
80,6,27,21,29
80,6,17,0,35
80,6,17,0,58
80,6,27,22,58
80,6,17,1,28
80,6,27,23,28
80,6,27,23,58
80,6,18,15,58
80,6,29,8,58
80,7,4,3,1
80,6,22,23,28
80,6,22,23,58
80,6,23,0,28
80,6,23,0,58
80,6,23,1,28
80,6,23,1,58
80,6,23,2,28
80,7,8,3,0
80,6,24,8,58
80,7,10,8,28
80,7,10,8,58
79,6,27,22,15
79,6,27,22,28
79,6,28,0,28
79,6,28,0,58
79,6,28,1,28
79,6,28,1,58
79,6,28,2,58
79,6,28,3,28
79,6,28,5,28
79,6,28,5,58
79,6,28,6,28
79,6,28,7,58
79,6,28,20,28
79,6,19,20,58
79,6,19,21,28
79,6,29,23,28
79,6,29,23,58
79,6,30,0,28
79,6,30,0,58
79,6,30,1,28
79,6,30,1,58
79,6,30,2,28
79,6,21,21,38
79,6,22,3,38
79,6,22,7,38
79,6,22,8,39
79,6,30,8,58
79,7,5,3,1
79,6,23,2,58
79,6,23,3,28
79,6,23,3,58
79,6,23,4,28
79,6,24,8,28
79,7,10,7,58
79,7,12,0,58
79,7,12,1,28
79,7,12,7,58
78,6,15,21,50
78,6,28,2,28
78,6,28,3,58
78,6,28,4,28
78,6,28,4,58
78,6,28,6,58
78,6,28,7,28
78,6,28,20,58
78,6,28,21,28
78,6,19,21,58
78,6,19,22,28
78,6,19,22,58
78,6,19,23,28
78,6,30,2,58
78,6,22,3,0
78,6,30,8,28
78,6,23,4,58
78,6,23,5,28
78,6,23,5,58
78,6,23,6,28
78,6,23,6,58
78,6,23,7,58
78,6,23,20,28
78,6,23,20,58
78,7,12,1,58
78,7,12,2,28
78,7,12,2,58
78,7,12,5,58
78,7,12,6,58
78,7,12,7,28
77,6,15,23,42
77,6,27,3,3
77,6,18,2,8
77,6,18,17,28
77,6,18,17,58
77,6,18,18,28
77,6,18,18,58
77,6,18,19,58
77,6,18,21,28
77,6,18,21,58
77,6,18,22,28
77,6,18,22,58
77,6,18,23,28
77,6,18,23,58
77,6,19,0,28
77,6,28,21,58
77,6,19,0,58
77,6,29,0,28
77,6,29,2,28
77,6,29,2,58
77,6,29,8,28
77,6,29,20,58
77,6,19,23,58
77,6,30,3,28
77,6,30,3,58
77,6,30,5,28
77,6,30,7,28
77,6,30,7,58
77,6,23,7,28
77,7,9,3,2
77,7,9,16,48
77,7,9,16,58
77,6,23,21,28
77,7,9,17,58
77,7,9,19,28
77,7,9,19,58
77,7,9,20,28
77,7,9,20,58
77,7,9,21,28
77,7,9,23,28
77,6,24,7,58
77,7,10,6,28
77,7,10,6,58
77,7,10,7,28
77,7,12,3,28
77,7,12,3,58
77,7,12,5,28
77,7,12,6,28
76,6,16,7,55
76,6,18,3,4
76,6,18,20,28
76,6,18,20,58
76,6,28,22,28
76,6,19,1,28
76,6,19,1,58
76,6,28,22,58
76,6,19,2,28
76,6,28,23,28
76,6,28,23,58
76,6,19,2,58
76,6,19,3,28
76,6,19,3,58
76,6,29,0,58
76,6,19,4,28
76,6,29,1,28
76,6,29,1,58
76,6,19,5,58
76,6,29,3,28
76,6,29,3,58
76,6,19,7,28
76,6,29,4,28
76,6,29,4,58
76,6,29,7,58
76,6,29,20,28
76,6,29,21,28
76,6,20,0,28
76,6,29,21,58
76,6,20,0,58
76,6,29,22,28
76,6,29,22,58
76,6,20,1,28
76,6,21,0,13
76,6,21,0,28
76,6,21,0,58
76,6,30,4,28
76,6,30,4,58
76,6,30,5,58
76,6,30,6,28
76,6,30,6,58
76,6,23,21,58
76,6,23,22,28
76,6,23,22,58
76,7,9,18,58
76,6,23,23,28
76,7,9,21,58
76,7,9,22,28
76,6,24,2,58
76,7,9,22,58
76,6,24,3,28
76,7,9,23,58
76,7,10,0,28
76,7,10,0,58
76,7,10,1,28
76,7,10,1,58
76,7,10,2,28
76,7,10,2,58
76,7,10,3,28
76,7,10,3,58
76,7,10,4,28
76,7,10,4,58
76,7,10,5,28
76,7,10,5,58
76,7,12,4,28
76,7,12,4,58
75,6,25,23,28
75,6,25,23,58
75,6,26,0,28
75,6,16,1,4
75,6,16,1,34
75,6,26,2,28
75,6,26,2,58
75,6,26,3,28
75,6,18,19,28
75,6,19,4,58
75,6,19,5,28
75,6,19,6,28
75,6,19,6,58
75,6,19,7,58
75,6,19,8,28
75,6,29,5,28
75,6,29,5,58
75,6,29,6,28
75,6,19,8,58
75,6,19,9,28
75,6,29,6,58
75,6,29,7,28
75,6,20,1,58
75,6,20,2,28
75,6,20,2,58
